"激流金属四巨头巡演","9.3"
"艾丽西亚·凯斯：不插电演唱会","9.3"
"A Very Gaga Thanksgiving","9.3"
"幕后危机(特别版)","9.3"
"David Garrett Live in Berlin","9.3"
"西蒙·阿姆斯特尔：麻木","9.3"
"夏目友人帐：曾几何时下雪之日","9.3"
"虫师 蚀日之翳","9.3"
"神秘博士终极指南","9.3"
"虫师 铃之滴","9.3"
"迪兰·莫兰：脱身","9.3"
"极品基老伴：完结篇","9.3"
"狐妖小红娘剧场版：月红篇","9.3"
"新贵2017圣诞特辑","9.3"
"红色","9.3"
"摇滚红与黑","9.3"
"灿烂人生","9.4"
"Yoshiki Symphonic Concert 2002 with Tokyo City Philharmonic Orchestra Featuring Violet UK","9.4"
"Sade Lovers Live","9.4"
"Christina Aguilera: Stripped Live in the UK","9.4"
"Eric Clapton: One More Car, One More Rider - Live on Tour 2001","9.4"
"愤怒反对机器：奥林匹克大剧院现场","9.4"
"艾里克.克莱普顿吉他音乐节","9.4"
"Justin Timberlake: FutureSex/LoveShow - Live from Madison Square Garden","9.4"
"武道馆现场","9.4"
"Christina Aguilera: Back to Basics - Live and Down Under","9.4"
"林肯公园：革命之路","9.4"
"杀手乐团：皇家艾伯特音乐厅演唱会","9.4"
"布兰妮 - 禁区之旅","9.4"
"浅希近求：迪兰·莫兰精选","9.4"
"神秘博士：2006逍遥音乐会","9.4"
"神秘博士：2010逍遥音乐会","9.4"
"天鹅湖","9.4"
"弗兰肯斯坦","9.4"
"神秘博士：DT的视频日志","9.4"
"转世熏风","9.4"
"五位(还嫌少)博士重启","9.4"
"跳出我天地音乐剧","9.4"
"唐顿庄园：2015圣诞特别篇","9.4"
"宇多田光Laugher in the Dark 2018 巡回演唱会","9.4"
"老鹰乐队2004年墨尔本演唱会","9.5"
"Minimum-Maximum","9.5"
"Cubism Pet Shop Boys in Concert","9.5"
"大雄的怀念奶奶","9.5"
"平安结祈","9.5"
"凯特秀：喜剧插曲之神秘博士特别篇","9.5"
"Coldplay -  Ghost Stories Live 2014","9.5"
"第十二夜","9.5"
"无事生非 (2011年伦敦Wyndham剧院版)","9.5"
"夏目友人帐 五 特别篇：一夜酒杯","9.5"
"神秘博士：DT的视频日志：最后的日子","9.6"
"悲惨世界：25周年纪念演唱会","9.6"
"夏目友人帐 第六季 特别篇 铃响的残株","9.6"
"张国荣拉阔音乐会","9.6"
"张国荣热·情演唱会","9.7"
"周杰伦无与伦比演唱会","9.7"
