"1297665","盖瑞","2154","剧情","7.4","2002-01-12","2002"
"1297666","星银岛","8518","爱情","7.8","2002-11-27","2002"
"1297689","少数派报告","109790","科幻","7.8","2002-06-21","2002"
"1297704","哈啦夏令营","221","喜剧","6.3","2001-07-27","2001"
"1297725","爱你不论代价","107","剧情","5.4","2000-03-31","2000"
"1297743","幸福时光","14943","剧情","6.9","2000-12-31","2000"
"1297771","情迷翡冷翠","850","剧情","6.9","2000-04-14","2000"
"1297773","鬼铃","7720","剧情","6.6","2002-07-26","2002"
"1297785","星球大战前传2：克隆人的进攻","66147","动作","7.9","2002-07-12","2002"
"1297787","同居蜜友","8302","喜剧","6.6","2001-06-09","2001"
"1297800","我的忧郁青春","1200","剧情","7","2001-09-08","2001"
"1297805","家族情仇","514","剧情","6.5","2000-04-27","2000"
"1297859","横竖横","258","剧情","7.9","2001-10-11","2001"
"1297866","上海正午","22783","喜剧","6.4","2000-06-01","2000"
"1297870","阳光下的星期一","355","剧情","7.6","2002-09-27","2002"
"1297881","变线人生","3218","剧情","6.8","2002-04-12","2002"
"1297955","对垒特工","1078","动作","5.4","2002-09-18","2002"
"1297963","等候名单","63","剧情","7.6","2000-06-02","2000"
"1297966","王者之舞","861","剧情","7.7","2000-12-06","2000"
"1298065","异灵灵异2002","5579","喜剧","6.7","2001-12-15","2001"
"1298070","加勒比海盗","528555","动作","8.7","2003-11-21","2003"
"1298139","关于施密特","4537","剧情","7.9","2002-12-20","2002"
"1298183","像鸡毛一样飞","8745","剧情","7.6","2002-08-06","2002"
"1298189","极速60秒","39346","动作","7.3","2000-06-08","2000"
"1298200","第七潮","54","剧情","8.4","2001-12-09","2001"
"1298239","驭鼠怪人","665","剧情","6.8","2003-05-08","2003"
"1298252","胜者为王","31440","惊悚","7.3","2000-07-21","2000"
"1298259","关于查理的真相","215","悬疑","6","2002-10-25","2002"
"1298269","地久天长","1275","剧情","8","2001-03-08","2001"
"1298309","生化特警之丧尸任务","824","喜剧","5.1","2000-12-01","2000"
"1298328","天兆","14626","剧情","6.5","2002-08-02","2002"
"1298346","芭啦芭啦樱之花","44945","剧情","6.1","2001-07-26","2001"
"1298350","火车上的男人","1913","剧情","8.1","2002-10-02","2002"
"1298362","益西卓玛","222","剧情","7.3","2000-09-13","2000"
"1298439","蓝烟火","386","剧情","6.2","2000-12-02","2000"
"1298451","回首念真情","41","剧情","7.4","2000-09-08","2000"
"1298525","碟中谍2","122103","动作","7.2","2002-11-28","2000"
"1298580","秘密投票","114","喜剧","7.2","2001-09-04","2001"
"1298586","木乃伊归来","98833","动作","7.5","2001-05-04","2001"
"1298636","猎杀卧底特警","49","剧情","6.5","2001-01-08","2001"
"1298685","裸体机密","82","惊悚","6.9","2000-02-09","2000"
"1298694","恐龙","14581","动画","7.5","2000-05-19","2000"
"1298712","奇逢敌手","1472","剧情","5.4","2003-03-27","2003"
"1298728","贴身情人","11654","喜剧","6.8","2002-12-20","2002"
"1298737","整十码","4556","喜剧","6.3","2004-04-07","2004"
"1298759","狗镇","100971","剧情","8.4","2003-05-19","2003"
"1298766","故乡的天空","333","剧情","8.6","2001-05-13","2001"
"1298823","真爱开玩笑","604","喜剧","6.2","2003-05-09","2003"
"1298829","天蛛地灭","563","科幻","5.4","2000-06-14","2000"
"1298943","性感野兽","913","剧情","6.6","2000-09-13","2000"
"1299010","回忆好时光","149","剧情","7.8","2001-08-24","2001"
"1299035","绝世宝贝","25968","喜剧","5.7","2002-08-08","2002"
"1299037","摇摆吉普赛","757","剧情","8.2","2002-02-11","2002"
"1299054","香草的天空","46227","爱情","7.4","2001-12-14","2001"
"1299104","命带追逐","72","剧情","6.7","2001-04-07","2000"
"1299113","爱的承诺","46","剧情","6.9","2000-05-05","2000"
"1299225","柯特莱特家族","41","剧情","6.5","2003-05-28","2003"
"1299238","星期一早晨","475","剧情","8","2002-02-20","2002"
"1299251","六月之蛇","3607","剧情","7","2002-09-01","2002"
"1299292","八美图","34188","喜剧","7.8","2002-02-06","2002"
"1299329","下一个就是你2","985","悬疑","5.8","2000-09-22","2000"
"1299361","爱·回家","57635","剧情","9.1","2002-04-05","2002"
"1299403","外星人的使命","98","喜剧","6.5","2000-03-03","2000"
"1299408","醉画仙","5528","剧情","7.5","2002-05-10","2002"
"1299426","神鬼剁手","114","剧情","6.7","2000-08-03","2000"
"1299506","双重情感","76","剧情","6.6","2000-06-02","2000"
"1299549","血腥拼图","1641","剧情","6.7","2002-08-06","2002"
"1299569","麻醉性谋杀","132","剧情","6.4","2001-12-14","2001"
"1299582","绿洲","22847","剧情","8.5","2002-08-09","2002"
"1299593","战地情人","6835","剧情","7.5","2001-05-04","2001"
